timestamp,interface,state,ssid,bssid,signal_percent,channel,radio_type,authentication,cipher,receive_mbps,transmit_mbps
2026-08-08T09:00:00-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,84,36,802.11ax,WPA2-Personal,CCMP,1201,960
2026-08-08T09:00:10-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,82,36,802.11ax,WPA2-Personal,CCMP,1201,960
2026-08-08T09:00:20-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,79,36,802.11ax,WPA2-Personal,CCMP,960,960
2026-08-08T09:00:30-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,74,36,802.11ax,WPA2-Personal,CCMP,960,721
2026-08-08T09:00:40-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,68,36,802.11ax,WPA2-Personal,CCMP,721,721
2026-08-08T09:00:50-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,61,36,802.11ax,WPA2-Personal,CCMP,576,576
2026-08-08T09:01:00-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,55,36,802.11ax,WPA2-Personal,CCMP,432,432
2026-08-08T09:01:10-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,47,36,802.11ax,WPA2-Personal,CCMP,288,288
2026-08-08T09:01:20-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,39,36,802.11ax,WPA2-Personal,CCMP,216,216
2026-08-08T09:01:30-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,43,36,802.11ax,WPA2-Personal,CCMP,288,288
2026-08-08T09:01:40-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,51,36,802.11ax,WPA2-Personal,CCMP,432,432
2026-08-08T09:01:50-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,59,36,802.11ax,WPA2-Personal,CCMP,576,576
2026-08-08T09:02:00-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,66,36,802.11ax,WPA2-Personal,CCMP,721,721
2026-08-08T09:02:10-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,72,36,802.11ax,WPA2-Personal,CCMP,866,866
2026-08-08T09:02:20-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,78,36,802.11ax,WPA2-Personal,CCMP,960,960
2026-08-08T09:02:30-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,81,36,802.11ax,WPA2-Personal,CCMP,1201,960
2026-08-08T09:02:40-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,86,36,802.11ax,WPA2-Personal,CCMP,1201,1201
2026-08-08T09:02:50-05:00,Wi-Fi,connected,network-demo123456,access-point-demo123456,88,36,802.11ax,WPA2-Personal,CCMP,1201,1201
